Costo1,Costo2,Topico,Quincena,TipoProducto,Conversion
0.347,0.122,4,8,1,Si
0.383,0.197,3,8,1,Si
0.358,0.045,3,6,1,Si
0.067,0.044,3,9,1,Si
0.478,0.173,2,8,1,Si
0.334,0.175,3,7,1,Si
0.465,0.308,2,7,1,Si
0.26,0.076,3,7,1,Si
0.112,0.136,4,9,1,Si
0.121,0.179,2,8,1,Si
0,0.016,3,6,1,Si
0.12,0.255,3,7,1,Si
0.3,0.273,4,7,1,Si
0.131,0.168,2,10,1,Si
0.021,0.197,3,7,1,Si
0.377,0.118,3,8,1,Si
0.225,0.195,4,8,1,Si
0.108,0.019,2,9,1,Si
0.057,0.31,3,10,1,Si
0.379,0.179,2,9,1,Si
0.262,0.041,2,8,1,Si
0.157,0.221,3,10,1,Si
0.418,0.177,3,7,1,Si
0.066,0.266,2,7,1,Si
0.153,0.075,3,10,1,Si
0.42,0.232,2,6,1,Si
0.213,0.16,2,6,1,Si
0.434,0.135,2,7,1,Si
0.245,0.239,3,9,1,Si
0.032,0.22,3,9,1,Si
0.087,0.12,3,9,1,Si
0.075,0.273,3,7,1,Si
0.008,0.057,3,7,1,Si
0.251,0.22,3,9,1,Si
0.156,0.19,2,8,1,Si
0.074,0.188,4,8,1,Si
0.072,0.318,2,9,1,Si
0.171,0.003,3,9,1,Si
0.405,0.091,3,7,1,Si
0.018,0.179,2,9,1,Si
0.316,0.259,3,10,1,Si
0.31,0.208,3,7,1,Si
0.074,0.184,2,6,1,Si
0.065,0.167,3,6,1,Si
0.073,0.164,3,6,1,Si
0.139,0.072,2,9,1,Si
0.022,0.241,3,9,1,Si
0.252,0.15,2,9,1,Si
0.306,0.09,3,9,1,Si
0.212,0.196,3,6,1,Si
0.254,0.315,3,7,1,Si
0.457,0.039,3,6,1,Si
0.17,0.15,3,10,1,Si
0.04,0.006,2,7,1,Si
0.313,0.315,2,7,1,Si
0.04,0.24,2,7,1,Si
0.424,0.201,2,6,1,Si
0.225,0.039,2,7,1,Si
0.378,0.206,4,7,1,Si
0.151,0.274,4,7,1,Si
0.116,0.063,2,9,1,Si
0.097,0.066,3,7,1,Si
0.25,0.253,3,7,1,Si
0.279,0.169,4,7,1,Si
0.134,0.197,2,9,1,Si
0.398,0.273,2,7,1,Si
0.351,0.157,3,7,1,Si
0.244,0.083,4,9,1,Si
0.326,0.291,3,9,1,Si
0.4,0.333,2,8,1,Si
0.072,0.327,4,9,1,Si
0.301,0.1,2,9,1,Si
0.355,0.1,3,6,1,Si
0.311,0.049,4,8,1,Si
0.241,0.31,3,9,1,Si
0.41,0.213,3,7,1,Si
0.39,0.056,2,9,1,Si
0.215,0.291,2,8,1,Si
0.43,0.292,2,8,1,Si
0.163,0.329,2,8,1,Si
0.358,0.072,4,9,1,Si
0.032,0.001,4,10,1,Si
0.126,0.209,3,9,1,Si
0.338,0.138,3,8,1,Si
0.155,0.036,3,10,1,Si
0.381,0.041,3,7,1,Si
0.285,0.171,3,8,1,Si
0.046,0.319,4,8,1,Si
0.395,0.222,2,9,1,Si
0.464,0.017,2,6,1,Si
0.293,0.123,3,8,1,Si
0.236,0.028,3,6,1,Si
0.349,0.207,3,10,1,Si
0.26,0.275,4,10,1,Si
0.479,0.103,4,8,1,Si
0.026,0.153,3,9,1,Si
0.187,0.108,4,6,1,Si
0.135,0.328,2,7,1,Si
0.297,0.272,2,7,1,Si
0.171,0.016,3,7,1,Si
0.329,0.04,2,6,1,Si
0.462,0.18,2,9,1,Si
0.256,0.055,3,10,1,Si
0.34,0.308,4,10,1,Si
0.393,0.169,3,7,1,Si
0.442,0.27,4,9,1,Si
0.449,0.307,2,9,1,Si
0.352,0.234,3,8,1,Si
0.421,0.272,2,6,1,Si
0.26,0.107,4,10,1,Si
0.026,0.031,3,7,1,Si
0.39,0.017,3,7,1,Si
0.465,0.226,4,9,1,Si
0.349,0.315,4,8,1,Si
0.481,0.001,2,7,1,Si
0.272,0.058,2,6,1,Si
0.475,0.091,3,7,1,Si
0.099,0.071,3,7,1,Si
0.164,0.079,2,8,1,Si
0.006,0.004,3,7,1,Si
0.183,0.258,3,8,1,Si
0.375,0.155,3,9,1,Si
0.105,0.087,2,7,1,Si
0.13,0.278,3,6,1,Si
0.006,0.208,3,9,1,Si
0.186,0.218,2,8,1,Si
0.213,0.215,3,10,1,Si
0.486,0.28,3,9,1,Si
0.144,0.276,3,9,1,Si
0.103,0.083,2,9,1,Si
0.399,0.102,2,9,1,Si
0.157,0.333,4,7,1,Si
0.411,0.288,2,9,1,Si
0.193,0.195,3,10,1,Si
0.248,0.08,3,7,1,Si
0.371,0.107,2,9,1,Si
0.498,0.114,3,7,1,Si
0.291,0.325,2,10,1,Si
0.228,0.327,3,8,1,Si
0.163,0.319,3,9,1,Si
0.333,0.281,4,9,1,Si
0.002,0.011,3,8,1,Si
0.177,0.218,3,7,1,Si
0.046,0.008,2,8,1,Si
0.118,0.294,2,10,1,Si
0.226,0.206,3,10,1,Si
0.084,0.201,3,10,1,Si
0.212,0.137,2,8,1,Si
0.43,0.267,2,8,1,Si
0.319,0.306,4,10,1,Si
0.278,0.184,2,9,1,Si
0.488,0.269,3,9,1,Si
0.085,0.14,3,8,1,Si
0.401,0.263,2,6,1,Si
0.356,0.018,4,8,1,Si
0.387,0.317,2,9,1,Si
0.108,0.231,2,6,1,Si
0.036,0.301,4,7,1,Si
0.479,0.322,4,10,1,Si
0.301,0.184,3,7,1,Si
0.239,0.283,4,7,1,Si
0.265,0.248,3,10,1,Si
0.07,0.083,3,7,1,Si
0.165,0.226,4,8,1,Si
0.018,0.024,3,7,1,Si
0.321,0.141,2,7,1,Si
0.273,0.15,2,9,1,Si
0.385,0.283,3,7,1,Si
0.367,0.055,3,6,1,Si
0,0.142,3,9,1,Si
0.236,0.124,2,9,1,Si
0.352,0.148,3,8,1,Si
0.043,0.181,3,9,1,Si
0.091,0.199,3,10,1,Si
0.042,0.287,4,9,1,Si
0.26,0.269,3,9,1,Si
0.343,0.087,4,7,1,Si
0.238,0.046,3,8,1,Si
0.433,0.059,4,8,1,Si
0.018,0.158,3,8,1,Si
0.264,0.178,3,10,1,Si
0.046,0.316,3,8,1,Si
0.498,0.162,3,8,1,Si
0.106,0.035,3,7,1,Si
0.394,0.162,3,9,1,Si
0.281,0.053,3,10,1,Si
0.207,0.26,4,9,1,Si
0.107,0.233,2,8,1,Si
0.471,0.029,4,10,1,Si
0.192,0.029,4,7,1,Si
0.076,0.284,4,7,1,Si
0.461,0.221,3,8,1,Si
0.475,0.317,4,7,1,Si
0.464,0.03,4,7,1,Si
0.069,0.161,3,7,1,Si
0.365,0.05,3,10,1,Si
0.131,0.089,3,8,1,Si
0.025,0.279,3,8,1,Si
0.231,0.222,3,8,1,Si
0.247,0.295,2,6,1,Si
0.06,0.072,3,6,1,Si
0.295,0.111,3,8,1,Si
0.411,0.003,3,8,1,Si
0.018,0.092,3,7,1,Si
0.116,0.121,3,7,1,Si
0.325,0.224,3,8,1,Si
0.485,0.165,3,8,1,Si
0.086,0.04,4,7,1,Si
0.462,0.247,3,8,1,Si
0.205,0.033,3,8,1,Si
0.252,0.023,4,8,1,Si
0.482,0.083,2,7,1,Si
0.39,0.07,2,10,1,Si
0.298,0.037,3,9,1,Si
0.008,0.33,3,9,1,Si
0.146,0.185,3,9,1,Si
0.177,0.29,2,7,1,Si
0.402,0.126,3,7,1,Si
0.404,0.296,4,10,1,Si
0.03,0.323,4,9,1,Si
0.258,0.279,4,9,1,Si
0.304,0.154,4,8,1,Si
0.493,0.293,2,8,1,Si
0.11,0.004,2,10,1,Si
0.07,0.264,4,10,1,Si
0.439,0.251,3,8,1,Si
0.465,0.147,3,7,1,Si
0.343,0.037,3,9,1,Si
0.348,0.234,4,10,1,Si
0.33,0.286,3,6,1,Si
0.192,0.206,3,7,1,Si
0.3,0.199,2,9,1,Si
0.237,0.223,4,8,1,Si
0.454,0.238,4,9,1,Si
0.138,0.042,4,10,1,Si
0.088,0.183,3,9,1,Si
0.055,0.18,3,8,1,Si
0.056,0.11,4,8,1,Si
0.482,0.039,3,9,1,Si
0.047,0.018,3,10,1,Si
0.334,0.002,3,9,1,Si
0.403,0.211,3,6,1,Si
0.243,0.304,3,8,1,Si
0.076,0.168,2,6,1,Si
0.063,0.119,4,8,1,Si
0.088,0.315,3,7,1,Si
0.159,0.281,3,9,1,Si
0.018,0.107,4,9,1,Si
0.387,0.311,2,7,1,Si
0.01,0.143,3,9,1,Si
0.291,0.024,3,7,1,Si
0.004,0.22,3,8,1,Si
0.071,0.247,4,8,1,Si
0.423,0.056,2,9,1,Si
0.037,0.295,4,9,1,Si
0.071,0.303,4,8,1,Si
0.295,0.197,3,7,1,Si
0.173,0.022,4,9,1,Si
0.285,0.145,2,7,1,Si
0.342,0.177,2,9,1,Si
0.375,0.059,3,8,1,Si
0.478,0.151,3,8,1,Si
0.021,0.002,3,9,1,Si
0.245,0.133,3,7,1,Si
0.382,0.045,4,9,1,Si
0.417,0.302,3,7,1,Si
0.004,0.125,3,6,1,Si
0.271,0.143,3,9,1,Si
0.424,0.078,3,9,1,Si
0.389,0.079,2,7,1,Si
0.069,0.102,3,9,1,Si
0.057,0.144,3,9,1,Si
0.18,0.113,4,9,1,Si
0.148,0.302,3,9,1,Si
0.12,0.079,3,7,1,Si
0.335,0.074,4,7,1,Si
0.343,0.325,4,8,1,Si
0.396,0.258,2,7,1,Si
0.16,0.128,4,6,1,Si
0.417,0.251,3,7,1,Si
0.347,0.252,2,6,1,Si
0.292,0.065,3,7,1,Si
0.323,0.233,3,6,1,Si
0.152,0.036,3,6,1,Si
0.002,0.311,3,7,1,Si
0.486,0.032,2,8,1,Si
0.37,0.151,3,7,1,Si
0.211,0.282,2,10,1,Si
0.428,0.056,3,7,1,Si
0.455,0.007,2,7,1,Si
0.16,0.314,3,8,1,Si
0.01,0.332,3,8,1,Si
0.213,0.274,2,8,1,Si
0.125,0.08,3,9,1,Si
0.34,0.129,3,9,1,Si
0.498,0.033,3,10,1,Si
0.173,0.019,4,10,1,Si
0.227,0.059,3,8,1,Si
0.158,0.15,3,8,1,Si
0.071,0.198,3,7,1,Si
0.142,0.043,4,7,1,Si
0.482,0.025,3,9,1,Si
0.447,0.23,3,9,1,Si
0.201,0.324,3,8,1,Si
0.327,0.03,2,9,1,Si
0.495,0.258,3,10,1,Si
0.235,0.218,2,7,1,Si
0.131,0.157,3,8,1,Si
0.061,0.125,3,10,1,Si
0.146,0.318,3,8,1,Si
0.186,0.063,2,9,1,Si
0.025,0.126,2,7,1,Si
0.365,0.008,2,6,1,Si
0.015,0.288,2,7,1,Si
0.041,0.01,4,7,1,Si
0.387,0.174,3,7,1,Si
0.435,0.188,3,7,1,Si
0.047,0.045,3,8,1,Si
0.121,0.024,2,8,1,Si
0.124,0.181,2,7,1,Si
0.292,0.168,2,6,1,Si
0.498,0.185,3,6,1,Si
0.383,0.18,4,7,1,Si
0.035,0.151,4,10,1,Si
0.462,0.251,3,9,1,Si
0.082,0.331,3,9,1,Si
0.193,0.103,2,8,1,Si
0.443,0.034,3,7,1,Si
0.466,0.326,3,7,1,Si
0.454,0.266,3,10,1,Si
0.106,0.231,3,10,1,Si
0.403,0.064,3,7,1,Si
0.309,0.133,3,7,1,Si
0.479,0.198,4,9,1,Si
0.425,0.175,4,6,1,Si
0.048,0.326,4,7,1,Si
0.445,0.272,2,7,1,Si
0.016,0.158,4,9,1,Si
0.037,0.021,4,8,1,Si
0.284,0.314,3,9,1,Si
0.265,0.113,4,8,1,Si
0.341,0.005,2,9,1,Si
0.48,0.027,3,10,1,Si
0.457,0.249,2,9,1,Si
0.16,0.174,3,8,1,Si
0.045,0.258,3,6,1,Si
0.405,0.294,3,9,1,Si
0.045,0.126,3,10,1,Si
0.328,0.307,4,8,1,Si
0.083,0.316,4,8,1,Si
0.373,0.242,3,7,1,Si
0.295,0.131,3,7,1,Si
0.431,0.029,3,8,1,Si
0.376,0.323,4,9,1,Si
0.24,0.085,2,7,1,Si
0.125,0.011,3,8,1,Si
0.306,0.155,4,7,1,Si
0.045,0.297,2,6,1,Si
0.107,0.317,4,10,1,Si
0.017,0.135,4,9,1,Si
0.038,0.241,3,9,1,Si
0.231,0.33,3,8,1,Si
0.395,0.227,4,8,1,Si
0.156,0.234,3,8,1,Si
0.034,0.092,2,8,1,Si
0.378,0.168,3,6,1,Si
0.398,0.311,3,10,1,Si
0.396,0.061,4,8,1,Si
0.089,0.218,4,6,1,Si
0.221,0.32,4,10,1,Si
0.106,0.255,2,7,1,Si
0.406,0.017,3,7,1,Si
0.263,0.013,3,8,1,Si
0.436,0.23,3,9,1,Si
0.21,0.256,3,7,1,Si
0.17,0.237,3,6,1,Si
0.007,0.106,2,10,1,Si
0.183,0.217,3,7,1,Si
0.101,0.311,4,8,1,Si
0.274,0.099,3,10,1,Si
0.273,0.274,3,9,1,Si
0.205,0.098,4,9,1,Si
0.179,0.13,2,6,1,Si
0.139,0.013,4,7,1,Si
0.297,0.22,4,7,1,Si
0.473,0.322,3,6,1,Si
0.279,0.174,3,9,1,Si
0.405,0.249,3,9,1,Si
0.26,0.322,3,6,1,Si
0.293,0.313,3,10,1,Si
0.376,0.267,3,10,1,Si
0.414,0.147,4,9,1,Si
0.42,0.042,2,6,1,Si
0.454,0.185,3,8,1,Si
0.151,0.119,3,9,1,Si
0.457,0.139,3,9,1,Si
0.197,0.315,3,10,1,Si
0.058,0.013,3,8,1,Si
0.04,0.214,2,9,1,Si
0.003,0.097,4,8,1,Si
0.016,0.108,4,9,1,Si
0.319,0.262,4,9,1,Si
0.407,0.012,3,10,1,Si
0.108,0.047,3,9,1,Si
0.337,0.127,3,10,1,Si
0.268,0.066,3,8,1,Si
0.401,0.261,3,8,1,Si
0.116,0.112,2,7,1,Si
0.19,0.093,3,9,1,Si
0.309,0.333,2,9,1,Si
0.274,0.103,3,7,1,Si
0.11,0.203,3,10,1,Si
0.091,0.104,3,7,1,Si
0.181,0.076,2,9,1,Si
0.092,0.32,2,7,1,Si
0.347,0.174,3,8,1,Si
0.28,0.001,2,7,1,Si
0.201,0.087,2,8,1,Si
0.024,0.097,4,8,1,Si
0.329,0.011,3,9,1,Si
0.225,0.304,3,7,1,Si
0.484,0.274,2,8,1,Si
0.419,0.127,3,7,1,Si
0.39,0.246,4,8,1,Si
0.484,0.251,3,10,1,Si
0.369,0.211,3,7,1,Si
0.234,0.118,4,9,1,Si
0.199,0.221,4,9,1,Si
0.267,0.313,3,6,1,Si
0.147,0.311,2,7,1,Si
0.053,0.278,3,10,1,Si
0.137,0.177,4,10,1,Si
0.44,0.287,4,7,1,Si
0.148,0.027,3,10,1,Si
0.329,0.254,3,7,1,Si
0.078,0.043,4,10,1,Si
0.479,0.286,4,8,1,Si
0.267,0.205,3,9,1,Si
0.076,0.252,4,10,1,Si
0.451,0.085,3,7,1,Si
0.257,0.003,3,7,1,Si
0.043,0.091,2,8,1,Si
0.482,0.132,2,9,1,Si
0.266,0.155,2,7,1,Si
0.114,0.106,4,8,1,Si
0.156,0.283,3,9,1,Si
0.248,0.157,3,9,1,Si
0.431,0.079,3,9,1,Si
0.287,0.214,3,8,1,Si
0.206,0.211,4,7,1,Si
0.379,0.308,3,8,1,Si
0.459,0.195,4,9,1,Si
0.094,0.143,2,9,1,Si
0.256,0.143,3,7,1,Si
0.331,0.201,2,7,1,Si
0.429,0.226,4,9,1,Si
0.012,0.122,3,8,1,Si
0.179,0.246,2,8,1,Si
0.128,0.173,2,8,1,Si
0.345,0.228,3,7,1,Si
0.233,0.144,4,7,1,Si
0.007,0.238,3,9,1,Si
0.42,0.037,2,6,1,Si
0.086,0.181,3,8,1,Si
0.464,0.046,4,7,1,Si
0.135,0.084,4,7,1,Si
0.284,0.306,2,9,1,Si
0.363,0.309,2,10,1,Si
0.314,0.181,3,7,1,Si
0.083,0.091,3,9,1,Si
0.204,0.128,2,7,1,Si
0.039,0.222,4,9,1,Si
0.439,0.187,3,7,1,Si
0.46,0.317,3,10,1,Si
0.112,0.247,3,6,1,Si
0.23,0.045,2,8,1,Si
0.132,0.141,2,7,1,Si
0.355,0.322,2,9,1,Si
0.475,0.33,2,7,1,Si
0.33,0.211,4,10,1,Si
0.023,0.259,3,9,1,Si
0.073,0.238,2,10,1,Si
0.132,0.016,2,7,1,Si
0.433,0.056,3,6,1,Si
0.115,0.055,4,6,1,Si
0.177,0.152,3,7,1,Si
0.209,0.235,3,7,1,Si
0.411,0.102,3,8,1,Si
0.192,0.028,4,9,1,Si
0.048,0.029,2,8,1,Si
0.443,0.005,3,7,1,Si
0.321,0.068,4,8,1,Si
0.112,0.051,2,9,1,Si
0.238,0.038,2,8,1,Si
0.053,0.257,3,7,1,Si
0.387,0.145,3,7,1,Si
0.016,0.28,4,7,1,Si
0.5,0.306,2,10,1,Si
0.167,0.222,4,7,1,Si
0.415,0.025,3,6,1,Si
0.169,0.041,2,6,1,Si
0.326,0.193,3,8,1,Si
0.163,0.201,3,8,1,Si
0.199,0.121,3,7,1,Si
0.124,0.234,4,8,1,Si
0.491,0.069,3,8,1,Si
0.378,0.261,3,7,1,Si
0.003,0.269,2,8,1,Si
0.251,0.235,3,7,1,Si
0.457,0.284,4,8,1,Si
0.372,0.201,2,7,1,Si
0.418,0.213,2,7,1,Si
0.221,0.23,3,8,1,Si
0.197,0.078,3,8,1,Si
0.295,0.139,2,7,1,Si
0.436,0.277,4,7,1,Si
0.113,0.071,3,8,1,Si
0.144,0.206,2,7,1,Si
0.356,0.219,2,8,1,Si
0.265,0.145,3,9,1,Si
0.497,0.212,2,7,1,Si
0.31,0.237,4,7,1,Si
0.414,0.206,2,10,1,Si
0.192,0.179,4,10,1,Si
0.44,0.137,2,8,1,Si
0.393,0.139,3,10,1,Si
0.072,0.077,3,7,1,Si
0.282,0.301,4,8,1,Si
0.192,0.115,3,9,1,Si
0.096,0.312,3,7,1,Si
0.029,0.06,3,6,1,Si
0.029,0.292,3,8,1,Si
0.252,0.109,4,8,1,Si
0.491,0.128,4,7,1,Si
0.031,0.17,4,8,1,Si
0.269,0.132,3,9,1,Si
0.193,0.19,4,10,1,Si
0.305,0.108,3,9,1,Si
0.2,0.009,2,7,1,Si
0.321,0.277,4,7,1,Si
0.283,0.229,3,10,1,Si
0.218,0.19,3,7,1,Si
0.402,0.071,3,10,1,Si
0.228,0.122,3,7,1,Si
0.379,0.03,4,9,1,Si
0.39,0.286,4,9,1,Si
0.368,0.026,4,7,1,Si
0.257,0.315,3,9,1,Si
0.346,0.217,4,9,1,Si
0.145,0.009,4,7,1,Si
0.347,0.016,3,9,1,Si
0.351,0.3,4,8,1,Si
0.216,0.084,2,9,1,Si
0.422,0.135,2,7,1,Si
0.054,0.263,3,9,1,Si
0.083,0.088,4,7,1,Si
0.12,0.322,3,8,1,Si
0.156,0.194,3,8,1,Si
0.378,0.162,2,8,1,Si
0.385,0.295,3,8,1,Si
0.11,0.153,3,9,1,Si
0.357,0.158,3,8,1,Si
0.478,0.074,3,8,1,Si
0.219,0.162,4,7,1,Si
0.355,0.043,4,10,1,Si
0.282,0.284,2,9,1,Si
0.423,0.147,3,9,1,Si
0.127,0.08,2,7,1,Si
0.046,0.016,2,8,1,Si
0.373,0.322,3,9,1,Si
0.066,0.242,4,7,1,Si
0.392,0.121,2,6,1,Si
0.205,0.266,4,10,1,Si
0.08,0.325,2,9,1,Si
0.232,0.031,4,7,1,Si
0,0.116,2,8,1,Si
